,UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
41,25937,1,-1.0,8.0,NULL,NULL
42,26465,1,3.0,-1.0,NULL,NULL
43,26941,1,3.0,-1.0,NULL,NULL
44,27198,1,-1.0,5.0,NULL,NULL
45,27496,1,-1.0,2.0,NULL,NULL
46,27553,1,7.0,-1.0,NULL,NULL
47,30100,1,-1.0,0.0,NULL,NULL
48,30480,1,1.0,-1.0,NULL,NULL
49,30913,1,0.0,-1.0,NULL,NULL
50,31404,1,-1.0,0.0,NULL,NULL
51,33206,1,-1.0,9.0,NULL,NULL
52,33462,1,-1.0,2.0,NULL,NULL
53,33467,1,-1.0,8.0,NULL,NULL
54,34048,1,-1.0,9.0,NULL,NULL
55,34052,1,-1.0,3.0,NULL,NULL
56,37128,1,-1.0,0.0,NULL,NULL
57,38149,1,-1.0,8.0,NULL,NULL
58,38529,1,-1.0,7.0,NULL,NULL
59,40300,1,8.0,-1.0,NULL,NULL
60,40592,1,7.0,-1.0,NULL,NULL
61,42469,1,7.0,-1.0,NULL,NULL
62,42760,1,2.0,-1.0,NULL,NULL
63,43951,1,3.0,-1.0,NULL,NULL
64,44003,1,-1.0,9.0,NULL,NULL
65,44108,1,-1.0,5.0,NULL,NULL
66,44504,1,-1.0,5.0,NULL,NULL
67,44561,1,-1.0,4.0,NULL,NULL
68,44796,1,5.0,-1.0,NULL,NULL
69,44935,1,1.0,-1.0,NULL,NULL
70,46080,1,1.0,-1.0,NULL,NULL
71,46294,1,-1.0,9.0,NULL,NULL
72,46518,1,-1.0,0.0,NULL,NULL
73,46700,1,-1.0,7.0,NULL,NULL
74,46831,1,-1.0,4.0,NULL,NULL
75,47770,1,1.0,-1.0,NULL,NULL
76,47868,1,-1.0,1.0,NULL,NULL
77,49323,1,-1.0,7.0,NULL,NULL
78,49327,1,-1.0,0.0,NULL,NULL
79,49501,1,-1.0,7.0,NULL,NULL
80,49868,1,0.0,-1.0,NULL,NULL
81,49871,1,-1.0,6.0,NULL,NULL
82,50238,1,-1.0,3.0,NULL,NULL
83,50610,1,3.0,-1.0,NULL,NULL
84,51840,1,-1.0,3.0,NULL,NULL
85,52365,1,-1.0,6.0,NULL,NULL
86,53834,1,3.0,-1.0,NULL,NULL
87,53969,1,6.0,-1.0,NULL,NULL
88,55266,1,0.0,-1.0,NULL,NULL
89,56596,1,0.0,-1.0,NULL,NULL
90,56749,1,5.0,-1.0,NULL,NULL
91,57246,1,-1.0,4.0,NULL,NULL
92,57596,1,4.0,-1.0,NULL,NULL
93,58217,1,-1.0,1.0,NULL,NULL
94,59348,1,2.0,-1.0,NULL,NULL
95,61364,1,2.0,-1.0,NULL,NULL
96,61390,1,-1.0,8.0,NULL,NULL
97,61771,1,-1.0,5.0,NULL,NULL
98,62069,1,-1.0,5.0,NULL,NULL
99,62332,1,-1.0,3.0,NULL,NULL
100,63159,1,1.0,-1.0,NULL,NULL
101,63587,1,9.0,-1.0,NULL,NULL
102,64104,1,-1.0,5.0,NULL,NULL
103,65563,1,6.0,-1.0,NULL,NULL
104,67220,1,8.0,-1.0,NULL,NULL
105,67267,1,-1.0,3.0,NULL,NULL
106,67439,1,-1.0,9.0,NULL,NULL
107,67769,1,7.0,-1.0,NULL,NULL
108,67988,1,-1.0,0.0,NULL,NULL
109,68366,1,8.0,-1.0,NULL,NULL
110,68427,1,4.0,-1.0,NULL,NULL
111,68564,1,0.0,-1.0,NULL,NULL
112,70292,1,-1.0,4.0,NULL,NULL
113,70324,1,-1.0,6.0,NULL,NULL
114,70678,1,0.0,-1.0,NULL,NULL
115,71346,1,8.0,-1.0,NULL,NULL
116,72701,1,0.0,-1.0,NULL,NULL
117,73351,1,1.0,-1.0,NULL,NULL
118,74377,1,4.0,-1.0,NULL,NULL
119,74546,1,-1.0,5.0,NULL,NULL
120,74936,1,-1.0,1.0,NULL,NULL
121,75447,1,3.0,-1.0,NULL,NULL
122,75853,1,6.0,-1.0,NULL,NULL
123,75871,1,8.0,-1.0,NULL,NULL
124,76045,1,-1.0,4.0,NULL,NULL
125,76494,1,2.0,-1.0,NULL,NULL
126,76845,1,4.0,-1.0,NULL,NULL
127,77225,1,6.0,-1.0,NULL,NULL
128,78166,1,-1.0,3.0,NULL,NULL
129,78743,1,-1.0,9.0,NULL,NULL
130,80858,1,7.0,-1.0,NULL,NULL
131,80995,1,1.0,-1.0,NULL,NULL
132,81619,1,-1.0,7.0,NULL,NULL
133,82582,1,7.0,-1.0,NULL,NULL
134,82665,1,-1.0,8.0,NULL,NULL
135,82686,1,-1.0,4.0,NULL,NULL
136,83434,1,-1.0,4.0,NULL,NULL
137,84483,1,9.0,-1.0,NULL,NULL
138,85171,1,8.0,-1.0,NULL,NULL
139,85698,1,2.0,-1.0,NULL,NULL
140,85838,1,5.0,-1.0,NULL,NULL
141,86321,1,-1.0,7.0,NULL,NULL
142,86455,1,-1.0,3.0,NULL,NULL
143,88457,1,-1.0,5.0,NULL,NULL
144,88771,1,0.0,-1.0,NULL,NULL
145,89471,1,6.0,-1.0,NULL,NULL
146,89598,1,7.0,-1.0,NULL,NULL
147,90085,1,6.0,-1.0,NULL,NULL
148,90362,1,7.0,-1.0,NULL,NULL
149,90519,1,-1.0,1.0,NULL,NULL
150,90849,1,-1.0,0.0,NULL,NULL
151,90902,1,0.0,-1.0,NULL,NULL
152,92758,1,9.0,-1.0,NULL,NULL
153,93002,1,4.0,-1.0,NULL,NULL
154,93008,1,0.0,-1.0,NULL,NULL
155,93088,1,9.0,-1.0,NULL,NULL
156,93754,1,5.0,-1.0,NULL,NULL
157,93908,1,0.0,-1.0,NULL,NULL
158,94681,1,-1.0,8.0,NULL,NULL
159,95954,1,4.0,-1.0,NULL,NULL
160,96089,1,-1.0,9.0,NULL,NULL
161,96681,1,4.0,-1.0,NULL,NULL
162,97180,1,8.0,-1.0,NULL,NULL
163,97521,1,2.0,-1.0,NULL,NULL
164,99195,1,1.0,-1.0,NULL,NULL
165,99285,1,3.0,-1.0,NULL,NULL
166,99942,1,-1.0,0.0,NULL,NULL
167,100019,1,0.0,-1.0,NULL,NULL
168,100504,1,-1.0,3.0,NULL,NULL
169,100816,1,-1.0,2.0,NULL,NULL
170,101379,1,-1.0,6.0,NULL,NULL
171,101401,1,-1.0,7.0,NULL,NULL
172,101848,1,8.0,-1.0,NULL,NULL
173,102169,1,3.0,-1.0,NULL,NULL
174,102171,1,2.0,-1.0,NULL,NULL
175,102240,1,-1.0,4.0,NULL,NULL
176,102637,1,9.0,-1.0,NULL,NULL
177,102827,1,-1.0,2.0,NULL,NULL
178,103035,1,-1.0,4.0,NULL,NULL
179,103222,1,-1.0,3.0,NULL,NULL
180,103366,1,-1.0,1.0,NULL,NULL
181,104197,1,-1.0,9.0,NULL,NULL
182,104697,1,-1.0,6.0,NULL,NULL
183,105768,1,6.0,-1.0,NULL,NULL
184,107630,1,4.0,-1.0,NULL,NULL
185,107948,1,7.0,-1.0,NULL,NULL
186,107964,1,4.0,-1.0,NULL,NULL
187,107999,1,-1.0,0.0,NULL,NULL
188,108719,1,5.0,-1.0,NULL,NULL
189,108725,1,-1.0,9.0,NULL,NULL
190,109733,1,6.0,-1.0,NULL,NULL
191,110279,1,2.0,-1.0,NULL,NULL
192,110500,1,2.0,-1.0,NULL,NULL
193,111366,1,-1.0,7.0,NULL,NULL
194,111558,1,-1.0,4.0,NULL,NULL
195,111911,1,-1.0,6.0,NULL,NULL
196,112264,1,6.0,-1.0,NULL,NULL
197,113785,1,1.0,-1.0,NULL,NULL
198,114043,1,-1.0,5.0,NULL,NULL
199,114650,1,3.0,-1.0,NULL,NULL
200,115465,1,-1.0,4.0,NULL,NULL
201,115881,1,-1.0,3.0,NULL,NULL
202,116093,1,0.0,-1.0,NULL,NULL
203,116529,1,4.0,-1.0,NULL,NULL
204,117337,1,9.0,-1.0,NULL,NULL
205,117610,1,9.0,-1.0,NULL,NULL
206,118379,1,5.0,-1.0,NULL,NULL
207,118789,1,5.0,-1.0,NULL,NULL
208,119599,1,-1.0,4.0,NULL,NULL
209,119765,1,0.0,-1.0,NULL,NULL
210,119768,1,-1.0,0.0,NULL,NULL
211,119946,1,-1.0,8.0,NULL,NULL
212,120524,1,-1.0,3.0,NULL,NULL
213,121546,1,-1.0,0.0,NULL,NULL
214,122858,1,-1.0,6.0,NULL,NULL
215,122965,1,4.0,-1.0,NULL,NULL
216,123837,1,8.0,-1.0,NULL,NULL
217,124981,1,-1.0,5.0,NULL,NULL
218,125855,1,4.0,-1.0,NULL,NULL
219,126665,1,5.0,-1.0,NULL,NULL
220,126749,1,-1.0,1.0,NULL,NULL
221,127330,1,-1.0,3.0,NULL,NULL
222,128261,1,-1.0,6.0,NULL,NULL
223,128274,1,0.0,-1.0,NULL,NULL
224,129430,1,-1.0,3.0,NULL,NULL
225,129796,1,-1.0,9.0,NULL,NULL
226,129853,1,-1.0,5.0,NULL,NULL
227,132005,1,-1.0,5.0,NULL,NULL
228,132293,1,-1.0,6.0,NULL,NULL
229,132430,1,-1.0,5.0,NULL,NULL
230,132644,1,0.0,-1.0,NULL,NULL
231,134322,1,-1.0,2.0,NULL,NULL
232,134692,1,3.0,-1.0,NULL,NULL
233,135419,1,-1.0,4.0,NULL,NULL
234,137259,1,2.0,-1.0,NULL,NULL
235,138010,1,1.0,-1.0,NULL,NULL
236,138210,1,9.0,-1.0,NULL,NULL
237,138304,1,-1.0,6.0,NULL,NULL
238,138998,1,4.0,-1.0,NULL,NULL
239,139163,1,-1.0,8.0,NULL,NULL
240,139753,1,9.0,-1.0,NULL,NULL
241,140440,1,-1.0,8.0,NULL,NULL
242,140518,1,-1.0,6.0,NULL,NULL
243,140826,1,-1.0,7.0,NULL,NULL
244,141694,1,6.0,-1.0,NULL,NULL
245,142895,1,0.0,2.0,NULL,NULL
246,143261,1,-1.0,3.0,NULL,NULL
247,143794,1,-1.0,2.0,NULL,NULL
248,144057,1,3.0,-1.0,NULL,NULL
249,144365,1,3.0,-1.0,NULL,NULL
250,144720,1,6.0,-1.0,NULL,NULL
251,146106,1,-1.0,5.0,NULL,NULL
252,146179,1,4.0,-1.0,NULL,NULL
253,146432,1,7.0,-1.0,NULL,NULL
254,146761,1,1.0,-1.0,NULL,NULL
255,147910,1,-1.0,0.0,NULL,NULL
256,148275,1,-1.0,7.0,NULL,NULL
257,148652,1,3.0,-1.0,NULL,NULL
258,149708,1,-1.0,2.0,NULL,NULL
259,150933,1,-1.0,5.0,NULL,NULL
260,152229,1,3.0,-1.0,NULL,NULL
261,153179,1,0.0,-1.0,NULL,NULL
262,153554,1,-1.0,8.0,NULL,NULL
263,153557,1,-1.0,2.0,NULL,NULL
264,154122,1,3.0,-1.0,NULL,NULL
265,155666,1,6.0,-1.0,NULL,NULL
266,157688,1,1.0,-1.0,NULL,NULL
267,158000,1,8.0,-1.0,NULL,NULL
268,158077,1,-1.0,7.0,NULL,NULL
269,158480,1,8.0,-1.0,NULL,NULL
270,162499,1,-1.0,6.0,NULL,NULL
271,162776,1,-1.0,9.0,NULL,NULL
272,162876,1,-1.0,0.0,NULL,NULL
273,162983,1,-1.0,0.0,NULL,NULL
274,163403,1,-1.0,9.0,NULL,NULL
275,163409,1,-1.0,1.0,NULL,NULL
276,164786,1,0.0,-1.0,NULL,NULL
277,165643,1,-1.0,8.0,NULL,NULL
278,165704,1,-1.0,5.0,NULL,NULL
279,165975,1,0.0,-1.0,NULL,NULL
280,166208,1,3.0,-1.0,NULL,NULL
281,166352,1,5.0,-1.0,NULL,NULL
282,166438,1,-1.0,9.0,NULL,NULL
283,166601,1,7.0,-1.0,NULL,NULL
284,168865,1,-1.0,0.0,NULL,NULL
285,169146,1,0.0,-1.0,NULL,NULL
286,169678,1,9.0,-1.0,NULL,NULL
287,169746,1,4.0,-1.0,NULL,NULL
288,171812,1,0.0,-1.0,NULL,NULL
289,172147,1,-1.0,9.0,NULL,NULL
290,173416,1,-1.0,6.0,NULL,NULL
291,174264,1,-1.0,4.0,NULL,NULL
292,174477,1,9.0,-1.0,NULL,NULL
293,174556,1,4.0,-1.0,NULL,NULL
294,174742,1,-1.0,5.0,NULL,NULL
295,174864,1,3.0,-1.0,NULL,NULL
296,174977,1,-1.0,5.0,NULL,NULL
297,175158,1,1.0,-1.0,NULL,NULL
298,175246,1,4.0,-1.0,NULL,NULL
299,175277,1,-1.0,3.0,NULL,NULL
300,175494,1,0.0,-1.0,NULL,NULL
301,175951,1,1.0,-1.0,NULL,NULL
302,176091,1,3.0,-1.0,NULL,NULL
303,176160,1,-1.0,4.0,NULL,NULL
304,176590,1,0.0,-1.0,NULL,NULL
305,177943,1,6.0,-1.0,NULL,NULL
306,178611,1,-1.0,6.0,NULL,NULL
307,178891,1,-1.0,5.0,NULL,NULL
308,178961,1,2.0,-1.0,NULL,NULL
309,179353,1,6.0,-1.0,NULL,NULL
310,179468,1,3.0,-1.0,NULL,NULL
311,180638,1,4.0,-1.0,NULL,NULL
312,181899,1,9.0,-1.0,NULL,NULL
313,182008,1,6.0,-1.0,NULL,NULL
314,184153,1,-1.0,2.0,NULL,NULL
315,184514,1,-1.0,2.0,NULL,NULL
316,185638,1,-1.0,9.0,NULL,NULL
317,186661,1,7.0,-1.0,NULL,NULL
318,187180,1,4.0,-1.0,NULL,NULL
319,188252,1,-1.0,7.0,NULL,NULL
320,189182,1,1.0,-1.0,NULL,NULL
321,189345,1,4.0,-1.0,NULL,NULL
322,189744,1,-1.0,1.0,NULL,NULL
323,192717,1,-1.0,6.0,NULL,NULL
324,192720,1,-1.0,7.0,NULL,NULL
325,193475,1,6.0,-1.0,NULL,NULL
326,194116,1,3.0,-1.0,NULL,NULL
327,194690,1,-1.0,3.0,NULL,NULL
328,195178,1,-1.0,0.0,NULL,NULL
329,195422,1,0.0,-1.0,NULL,NULL
330,196002,1,-1.0,4.0,NULL,NULL
331,196457,1,-1.0,5.0,NULL,NULL
332,196832,1,6.0,-1.0,NULL,NULL
333,196876,1,6.0,-1.0,NULL,NULL
334,197190,1,-1.0,9.0,NULL,NULL
335,199608,1,-1.0,9.0,NULL,NULL
336,200221,1,0.0,-1.0,NULL,NULL
337,202680,1,7.0,-1.0,NULL,NULL
338,203081,1,-1.0,2.0,NULL,NULL
339,203585,1,-1.0,5.0,NULL,NULL
340,203915,1,7.0,-1.0,NULL,NULL
341,204707,1,4.0,-1.0,NULL,NULL
342,205423,1,-1.0,7.0,NULL,NULL
343,206537,1,-1.0,3.0,NULL,NULL
344,208311,1,-1.0,4.0,NULL,NULL
345,208478,1,-1.0,8.0,NULL,NULL
346,208625,1,7.0,-1.0,NULL,NULL
347,208721,1,-1.0,0.0,NULL,NULL
348,208817,1,6.0,-1.0,NULL,NULL
349,209559,1,1.0,-1.0,NULL,NULL
350,209660,1,3.0,-1.0,NULL,NULL
351,210669,1,-1.0,5.0,NULL,NULL
352,210975,1,0.0,-1.0,NULL,NULL
353,211865,1,-1.0,0.0,NULL,NULL
354,211957,1,6.0,-1.0,NULL,NULL
355,212676,1,6.0,-1.0,NULL,NULL
356,212695,1,7.0,-1.0,NULL,NULL
357,212848,1,-1.0,9.0,NULL,NULL
358,213248,1,6.0,-1.0,NULL,NULL
359,213855,1,-1.0,1.0,NULL,NULL
360,214938,1,8.0,-1.0,NULL,NULL
361,215171,1,6.0,-1.0,NULL,NULL
362,215675,1,-1.0,0.0,NULL,NULL
363,215875,1,-1.0,2.0,NULL,NULL
364,216319,1,-1.0,0.0,NULL,NULL
365,216787,1,-1.0,6.0,NULL,NULL
366,216862,1,-1.0,2.0,NULL,NULL
367,216876,1,-1.0,0.0,NULL,NULL
368,218029,1,4.0,-1.0,NULL,NULL
369,219040,1,2.0,-1.0,NULL,NULL
370,219152,1,9.0,-1.0,NULL,NULL
371,219551,1,4.0,-1.0,NULL,NULL
372,219885,1,-1.0,0.0,NULL,NULL
373,221001,1,-1.0,8.0,NULL,NULL
374,221065,1,-1.0,3.0,NULL,NULL
375,221582,1,-1.0,8.0,NULL,NULL
376,222279,1,9.0,-1.0,NULL,NULL
377,223230,1,-1.0,6.0,NULL,NULL
378,223846,1,8.0,-1.0,NULL,NULL
379,225790,1,5.0,-1.0,NULL,NULL
380,225972,1,3.0,-1.0,NULL,NULL
381,226388,1,7.0,-1.0,NULL,NULL
382,226530,1,4.0,-1.0,NULL,NULL
383,226663,1,-1.0,2.0,NULL,NULL
384,227278,1,9.0,-1.0,NULL,NULL
385,227568,1,3.0,-1.0,NULL,NULL
386,227731,1,-1.0,9.0,NULL,NULL
387,228696,1,4.0,-1.0,NULL,NULL
388,229399,1,1.0,-1.0,NULL,NULL
389,229817,1,4.0,-1.0,NULL,NULL
390,230063,1,-1.0,6.0,NULL,NULL
391,230249,1,0.0,-1.0,NULL,NULL
392,230279,1,-1.0,0.0,NULL,NULL
393,230451,1,7.0,-1.0,NULL,NULL
394,231792,1,-1.0,9.0,NULL,NULL
395,231803,1,4.0,-1.0,NULL,NULL
396,232326,1,-1.0,4.0,NULL,NULL
397,235058,1,-1.0,9.0,NULL,NULL
398,235446,1,2.0,-1.0,NULL,NULL
399,236053,1,-1.0,3.0,NULL,NULL
400,237271,1,2.0,-1.0,NULL,NULL
401,237635,1,-1.0,7.0,NULL,NULL
402,238211,1,6.0,-1.0,NULL,NULL
403,238599,1,7.0,-1.0,NULL,NULL
404,238784,1,4.0,-1.0,NULL,NULL
405,238840,1,-1.0,7.0,NULL,NULL
406,238965,1,-1.0,4.0,NULL,NULL
407,239411,1,4.0,-1.0,NULL,NULL
408,242106,1,1.0,-1.0,NULL,NULL
409,242630,1,2.0,-1.0,NULL,NULL
410,242639,1,-1.0,9.0,NULL,NULL
411,242822,1,0.0,-1.0,NULL,NULL
412,243341,1,-1.0,0.0,NULL,NULL
413,243936,1,6.0,-1.0,NULL,NULL
414,244956,1,4.0,-1.0,NULL,NULL
415,245509,1,0.0,-1.0,NULL,NULL
416,245659,1,9.0,-1.0,NULL,NULL
417,245969,1,-1.0,7.0,NULL,NULL
418,246795,1,9.0,-1.0,NULL,NULL
419,246824,1,-1.0,3.0,NULL,NULL
420,247360,1,1.0,-1.0,NULL,NULL
421,248381,1,-1.0,2.0,NULL,NULL
422,248525,1,-1.0,8.0,NULL,NULL
423,248552,1,-1.0,4.0,NULL,NULL
424,248716,1,9.0,-1.0,NULL,NULL
425,249653,1,8.0,-1.0,NULL,NULL
426,249747,1,-1.0,9.0,NULL,NULL
427,250122,1,-1.0,1.0,NULL,NULL
428,250865,1,6.0,-1.0,NULL,NULL
429,251060,1,-1.0,9.0,NULL,NULL
430,251473,1,7.0,-1.0,NULL,NULL
431,252001,1,-1.0,3.0,NULL,NULL
432,252225,1,-1.0,9.0,NULL,NULL
433,252295,1,-1.0,1.0,NULL,NULL
434,252921,1,6.0,-1.0,NULL,NULL
435,253072,1,3.0,-1.0,NULL,NULL
436,253532,1,8.0,-1.0,NULL,NULL
437,254353,1,-1.0,9.0,NULL,NULL
438,254435,1,0.0,-1.0,NULL,NULL
439,255809,1,-1.0,4.0,NULL,NULL
440,256160,1,-1.0,8.0,NULL,NULL
441,256267,1,-1.0,1.0,NULL,NULL
442,257128,1,3.0,-1.0,NULL,NULL
443,257309,1,4.0,-1.0,NULL,NULL
444,258363,1,6.0,-1.0,NULL,NULL
445,258661,1,-1.0,6.0,NULL,NULL
446,260296,1,7.0,-1.0,NULL,NULL
447,260647,1,-1.0,4.0,NULL,NULL
448,261507,1,1.0,-1.0,NULL,NULL
449,263890,1,-1.0,9.0,NULL,NULL
450,264148,1,2.0,-1.0,NULL,NULL
451,264500,1,3.0,-1.0,NULL,NULL
452,265340,1,2.0,-1.0,NULL,NULL
453,265745,1,-1.0,1.0,NULL,NULL
454,266349,1,6.0,-1.0,NULL,NULL
455,268321,1,6.0,-1.0,NULL,NULL
456,269426,1,-1.0,8.0,NULL,NULL
457,269447,1,6.0,-1.0,NULL,NULL
458,270385,1,9.0,-1.0,NULL,NULL
459,270511,1,2.0,-1.0,NULL,NULL
460,270823,1,-1.0,3.0,NULL,NULL
461,271447,1,1.0,-1.0,NULL,NULL
462,273862,1,5.0,-1.0,NULL,NULL
463,274141,1,-1.0,3.0,NULL,NULL
464,274375,1,-1.0,5.0,NULL,NULL
465,274557,1,2.0,-1.0,NULL,NULL
466,274971,1,-1.0,9.0,NULL,NULL
467,275959,1,1.0,-1.0,NULL,NULL
468,276719,1,7.0,-1.0,NULL,NULL
469,278009,1,2.0,-1.0,NULL,NULL
470,278022,1,-1.0,9.0,NULL,NULL
471,278351,1,-1.0,2.0,NULL,NULL
472,279432,1,-1.0,4.0,NULL,NULL
473,279570,1,-1.0,9.0,NULL,NULL
474,280294,1,-1.0,7.0,NULL,NULL
475,282602,1,-1.0,8.0,NULL,NULL
476,283049,1,-1.0,7.0,NULL,NULL
477,284632,1,7.0,-1.0,NULL,NULL
478,284790,1,1.0,-1.0,NULL,NULL
479,284886,1,2.0,-1.0,NULL,NULL
480,286150,1,-1.0,1.0,NULL,NULL
481,286196,1,-1.0,1.0,NULL,NULL
482,286829,1,-1.0,9.0,NULL,NULL
483,289694,1,-1.0,4.0,NULL,NULL
484,289887,1,8.0,-1.0,NULL,NULL
485,290141,1,5.0,-1.0,NULL,NULL
486,290214,1,-1.0,1.0,NULL,NULL
487,290351,1,3.0,-1.0,NULL,NULL
488,291772,1,5.0,-1.0,NULL,NULL
489,291979,1,-1.0,5.0,NULL,NULL
490,292358,1,-1.0,1.0,NULL,NULL
491,293682,1,2.0,-1.0,NULL,NULL
492,293716,1,-1.0,7.0,NULL,NULL
493,293951,1,-1.0,0.0,NULL,NULL
494,294441,1,7.0,-1.0,NULL,NULL
495,296022,1,6.0,-1.0,NULL,NULL
496,296064,1,-1.0,3.0,NULL,NULL
497,296236,1,8.0,-1.0,NULL,NULL
498,296392,1,-1.0,8.0,NULL,NULL
499,296556,1,9.0,-1.0,NULL,NULL
500,297530,1,-1.0,8.0,NULL,NULL
501,298427,1,0.0,-1.0,NULL,NULL
502,298778,1,5.0,-1.0,NULL,NULL
503,299185,1,-1.0,9.0,NULL,NULL
504,299938,1,-1.0,2.0,NULL,NULL
505,300027,1,3.0,-1.0,NULL,NULL
506,302621,1,-1.0,5.0,NULL,NULL
507,302939,1,-1.0,8.0,NULL,NULL
508,303659,1,-1.0,0.0,NULL,NULL
509,304401,1,9.0,-1.0,NULL,NULL
510,305635,1,-1.0,6.0,NULL,NULL
511,306314,1,5.0,-1.0,NULL,NULL
512,307228,1,-1.0,0.0,NULL,NULL
513,308916,1,-1.0,8.0,NULL,NULL
514,309318,1,8.0,-1.0,NULL,NULL
515,309390,1,-1.0,9.0,NULL,NULL
516,309584,1,0.0,-1.0,NULL,NULL
517,311144,1,-1.0,8.0,NULL,NULL
518,311238,1,-1.0,2.0,NULL,NULL
519,312228,1,-1.0,9.0,NULL,NULL
520,312482,1,1.0,-1.0,NULL,NULL
521,313285,1,7.0,-1.0,NULL,NULL
522,314130,1,-1.0,2.0,NULL,NULL
523,315414,1,-1.0,6.0,NULL,NULL
524,316027,1,2.0,-1.0,NULL,NULL
525,316269,1,-1.0,3.0,NULL,NULL
526,316563,1,-1.0,8.0,NULL,NULL
527,316857,1,0.0,-1.0,NULL,NULL
528,316935,1,8.0,-1.0,NULL,NULL
529,317118,1,4.0,-1.0,NULL,NULL
530,318103,1,-1.0,0.0,NULL,NULL
531,318907,1,-1.0,4.0,NULL,NULL
532,319891,1,2.0,-1.0,NULL,NULL
533,320494,1,3.0,-1.0,NULL,NULL
534,320928,1,0.0,-1.0,NULL,NULL
535,320970,1,1.0,-1.0,NULL,NULL
536,324024,1,6.0,-1.0,NULL,NULL
537,324103,1,-1.0,0.0,NULL,NULL
538,325030,1,-1.0,9.0,NULL,NULL
539,326760,1,-1.0,3.0,NULL,NULL
540,326932,1,5.0,-1.0,NULL,NULL
541,327214,1,9.0,-1.0,NULL,NULL
542,327581,1,4.0,-1.0,NULL,NULL
543,327646,1,7.0,-1.0,NULL,NULL
544,328319,1,4.0,-1.0,NULL,NULL
545,329009,1,-1.0,9.0,NULL,NULL
546,330048,1,0.0,-1.0,NULL,NULL
547,330760,1,-1.0,5.0,NULL,NULL
548,330913,1,1.0,-1.0,NULL,NULL
549,331007,1,-1.0,9.0,NULL,NULL
550,333277,1,-1.0,6.0,NULL,NULL
551,335337,1,7.0,-1.0,NULL,NULL
552,335486,1,4.0,-1.0,NULL,NULL
553,335788,1,0.0,-1.0,NULL,NULL
554,335934,1,9.0,-1.0,NULL,NULL
555,336040,1,-1.0,1.0,NULL,NULL
556,336364,1,-1.0,1.0,NULL,NULL
557,336734,1,-1.0,1.0,NULL,NULL
558,336967,1,-1.0,7.0,NULL,NULL
559,337239,1,-1.0,7.0,NULL,NULL
560,337373,1,6.0,-1.0,NULL,NULL
561,337941,1,2.0,-1.0,NULL,NULL
562,338053,1,-1.0,2.0,NULL,NULL
563,338447,1,3.0,-1.0,NULL,NULL
564,338772,1,-1.0,6.0,NULL,NULL
565,340872,1,2.0,-1.0,NULL,NULL
566,341461,1,4.0,-1.0,NULL,NULL
567,341835,1,4.0,-1.0,NULL,NULL
568,343388,1,-1.0,5.0,NULL,NULL
569,343446,1,6.0,-1.0,NULL,NULL
570,343615,1,-1.0,1.0,NULL,NULL
571,344123,1,-1.0,5.0,NULL,NULL
572,344209,1,8.0,-1.0,NULL,NULL
573,344554,1,3.0,-1.0,NULL,NULL
574,345650,1,-1.0,3.0,NULL,NULL
575,346336,1,4.0,-1.0,NULL,NULL
576,346390,1,7.0,-1.0,NULL,NULL
577,347898,1,0.0,-1.0,NULL,NULL
578,348089,1,-1.0,3.0,NULL,NULL
